target_id,year_month,make,target_units,target_revenue,grain
1,2024-01,BYD,11,41049538.43,make_monthly
2,2024-01,Ford,10,10212546.0,make_monthly
3,2024-01,Honda,59,69236355.04,make_monthly
4,2024-01,Hyundai,152,177012943.3,make_monthly
5,2024-01,Kia,72,126986978.55,make_monthly
6,2024-01,MG,61,88574503.22,make_monthly
7,2024-01,Mahindra,190,287665295.56,make_monthly
8,2024-01,Maruti,299,283743586.33,make_monthly
9,2024-01,Skoda,22,28949879.19,make_monthly
10,2024-01,Tata,279,338135166.49,make_monthly
11,2024-01,Toyota,101,224476156.66,make_monthly
12,2024-02,BYD,11,41049538.43,make_monthly
13,2024-02,Ford,10,10212546.0,make_monthly
14,2024-02,Honda,59,69236355.04,make_monthly
15,2024-02,Hyundai,150,174683825.62,make_monthly
16,2024-02,Kia,72,126986978.55,make_monthly
17,2024-02,MG,60,87122462.18,make_monthly
18,2024-02,Mahindra,184,278581128.33,make_monthly
19,2024-02,Maruti,300,284692561.53,make_monthly
20,2024-02,Skoda,22,28949879.19,make_monthly
21,2024-02,Tata,283,342982982.5,make_monthly
22,2024-02,Toyota,101,224476156.66,make_monthly
23,2024-03,BYD,11,41049538.43,make_monthly
24,2024-03,Ford,10,10212546.0,make_monthly
25,2024-03,Honda,58,68062857.49,make_monthly
26,2024-03,Hyundai,149,173519266.79,make_monthly
27,2024-03,Kia,73,128750686.59,make_monthly
28,2024-03,MG,58,84218380.11,make_monthly
29,2024-03,Mahindra,185,280095156.2,make_monthly
30,2024-03,Maruti,298,282794611.12,make_monthly
31,2024-03,Skoda,22,28949879.19,make_monthly
32,2024-03,Tata,285,345406890.51,make_monthly
33,2024-03,Toyota,101,224476156.66,make_monthly
34,2024-04,BYD,10,37317762.21,make_monthly
35,2024-04,Ford,10,10212546.0,make_monthly
36,2024-04,Honda,57,66889359.95,make_monthly
37,2024-04,Hyundai,148,172354707.95,make_monthly
38,2024-04,Kia,73,128750686.59,make_monthly
39,2024-04,MG,59,85670421.15,make_monthly
40,2024-04,Mahindra,190,287665295.56,make_monthly
41,2024-04,Maruti,294,278998710.3,make_monthly
42,2024-04,Skoda,22,28949879.19,make_monthly
43,2024-04,Tata,282,341771028.5,make_monthly
44,2024-04,Toyota,101,224476156.66,make_monthly
45,2024-05,BYD,11,41049538.43,make_monthly
46,2024-05,Ford,10,10212546.0,make_monthly
47,2024-05,Honda,57,66889359.95,make_monthly
48,2024-05,Hyundai,149,173519266.79,make_monthly
49,2024-05,Kia,74,130514394.62,make_monthly
50,2024-05,MG,59,85670421.15,make_monthly
51,2024-05,Mahindra,185,280095156.2,make_monthly
52,2024-05,Maruti,288,273304859.07,make_monthly
53,2024-05,Skoda,22,28949879.19,make_monthly
54,2024-05,Tata,281,340559074.5,make_monthly
55,2024-05,Toyota,103,228921229.07,make_monthly
56,2024-06,BYD,10,37317762.21,make_monthly
57,2024-06,Ford,10,10212546.0,make_monthly
58,2024-06,Honda,53,62195369.78,make_monthly
59,2024-06,Hyundai,136,158380001.9,make_monthly
60,2024-06,Kia,66,116404730.34,make_monthly
61,2024-06,MG,55,79862257.0,make_monthly
62,2024-06,Mahindra,173,261926821.74,make_monthly
63,2024-06,Maruti,273,259070230.99,make_monthly
64,2024-06,Skoda,21,27633975.59,make_monthly
65,2024-06,Tata,259,313896086.46,make_monthly
66,2024-06,Toyota,94,208918403.23,make_monthly
67,2024-07,BYD,10,37317762.21,make_monthly
68,2024-07,Ford,10,10212546.0,make_monthly
69,2024-07,Honda,52,61021872.23,make_monthly
70,2024-07,Hyundai,138,160709119.57,make_monthly
